timestamp,given_number,upper_bound,estimation,estimation_rt,stimulus_ts_on,stimulus_ts_off,size_control,post_mean_a,post_mean_b,post_mean_lam,post_mean_sigma,post_sd_a,post_sd_b,post_sd_lam,post_sd_sigma,Participant ID,Birthdate,Gender
2025-08-12 13:04:48,500,500,448.5,2.2269198894500732,1754971486.54041,1754971488.76733,1,0.7500104904174805,49.99997329711914,0.49999985098838806,50.500057220458984,0.15811392664909363,31.622798919677734,0.3027651906013489,31.306556701660156,25081213,2005-01-28,남성
2025-08-12 13:04:52,205,500,245.5,2.3208868503570557,1754971490.6295502,1754971492.950437,1,0.7920263409614563,50.589027404785156,0.4999999403953552,41.56929397583008,0.10511685162782669,33.78400421142578,0.30276501178741455,33.0291748046875,25081213,2005-01-28,남성
2025-08-12 13:04:56,85,500,100.5,2.1347806453704834,1754971494.7318966,1754971496.8666773,1,0.8049856424331665,39.80348587036133,0.27596184611320496,30.855573654174805,0.10659150779247284,37.91322708129883,0.20707276463508606,31.905479431152344,25081213,2005-01-28,남성
2025-08-12 13:05:01,485,500,433.0,2.626085042953491,1754971498.6567793,1754971501.2828643,1,0.7954235672950745,39.0771484375,0.19164077937602997,54.40605163574219,0.11554157733917236,28.858367919921875,0.1816757619380951,24.124061584472656,25081213,2005-01-28,남성
2025-08-12 13:05:04,80,500,102.5,1.8108906745910645,1754971503.0678651,1754971504.8787558,1,0.8146999478340149,36.40367889404297,0.15770356357097626,43.70988082885742,0.0900135487318039,27.837663650512695,0.14833705127239227,22.498361587524414,25081213,2005-01-28,남성
2025-08-12 13:05:08,75,500,79.5,1.9236843585968018,1754971506.6592386,1754971508.582923,0,0.8356643319129944,29.170257568359375,0.1107962504029274,35.60234832763672,0.07741593569517136,23.9887638092041,0.1025296002626419,19.063310623168945,25081213,2005-01-28,남성
2025-08-12 13:05:12,460,500,419.5,2.3994863033294678,1754971510.3828654,1754971512.7823517,1,0.8516473174095154,23.200769424438477,0.08395479619503021,32.21771240234375,0.06811791658401489,20.204439163208008,0.07839632779359818,15.796598434448242,25081213,2005-01-28,남성
2025-08-12 13:05:16,70,500,47.0,1.8131260871887207,1754971514.6258397,1754971516.4389658,0,0.8597800731658936,21.1988525390625,0.07796911895275116,26.821882247924805,0.05366426706314087,18.548032760620117,0.06742530316114426,12.035882949829102,25081213,2005-01-28,남성
2025-08-12 13:05:20,455,500,450.5,2.140955686569214,1754971518.3919404,1754971520.532896,0,0.8697707653045654,16.56729507446289,0.05741233006119728,31.679384231567383,0.054885685443878174,16.06604766845703,0.05916416645050049,12.6348876953125,25081213,2005-01-28,남성
2025-08-12 13:05:24,440,500,465.5,2.179610252380371,1754971522.4359598,1754971524.61557,0,0.8888450860977173,15.900128364562988,0.05286537483334541,31.207956314086914,0.04953768849372864,15.4647798538208,0.055227890610694885,11.354387283325195,25081213,2005-01-28,남성
2025-08-12 13:05:28,90,500,53.5,2.086423397064209,1754971526.4794908,1754971528.5659142,1,0.907120406627655,16.75423240661621,0.05388372763991356,35.65810012817383,0.051412735134363174,16.46444320678711,0.057429973036050797,11.446843147277832,25081213,2005-01-28,남성
2025-08-12 13:05:32,420,500,450.0,2.1973519325256348,1754971530.4349182,1754971532.63227,0,0.9144248366355896,13.038098335266113,0.03898687660694122,37.2474250793457,0.04913744702935219,14.12022590637207,0.04840121418237686,10.905674934387207,25081213,2005-01-28,남성
2025-08-12 13:05:36,100,500,37.0,1.822618007659912,1754971534.5202796,1754971536.3428977,1,0.9288357496261597,13.301506042480469,0.039073653519153595,38.545928955078125,0.04767141863703728,14.287798881530762,0.04833051189780235,10.402029037475586,25081213,2005-01-28,남성
2025-08-12 13:05:40,400,500,386.0,2.4930269718170166,1754971538.1892815,1754971540.6823084,1,0.9312531352043152,10.524250984191895,0.028476707637310028,43.05396270751953,0.048559270799160004,12.8029146194458,0.042379651218652725,11.242932319641113,25081213,2005-01-28,남성
2025-08-12 13:05:44,400,500,382.5,1.7600610256195068,1754971542.5913057,1754971544.3513668,0,0.9343323707580566,9.683489799499512,0.02588239498436451,40.59387969970703,0.04443277418613434,11.981658935546875,0.03941318765282631,10.03785514831543,25081213,2005-01-28,남성
2025-08-12 13:05:48,405,500,435.0,2.3056089878082275,1754971546.2426398,1754971548.5482488,0,0.9354851841926575,8.998198509216309,0.02382572926580906,38.56285095214844,0.04101388156414032,11.300536155700684,0.03702501952648163,8.981735229492188,25081213,2005-01-28,남성
2025-08-12 13:05:52,400,500,438.0,2.470613479614258,1754971550.460163,1754971552.9307766,0,0.9449480772018433,9.09515380859375,0.02374030463397503,38.879051208496094,0.040047820657491684,11.297981262207031,0.03679179027676582,8.697657585144043,25081213,2005-01-28,남성
2025-08-12 13:05:56,110,500,57.0,1.9949672222137451,1754971554.812406,1754971556.8073733,0,0.9540449976921082,9.385896682739258,0.024223187938332558,39.70745086669922,0.03969311714172363,11.498047828674316,0.037188753485679626,8.590373992919922,25081213,2005-01-28,남성
2025-08-12 13:06:01,395,500,440.0,2.5561420917510986,1754971558.674714,1754971561.2308562,0,0.9567842483520508,7.390093803405762,0.01751151867210865,41.099884033203125,0.03821220248937607,10.0592679977417,0.03158796578645706,8.602293968200684,25081213,2005-01-28,남성
2025-08-12 13:06:04,125,500,60.0,1.8931388854980469,1754971563.0977933,1754971564.9909322,1,0.964920699596405,7.6479692459106445,0.01799660734832287,41.869972229003906,0.037051472812891006,10.254578590393066,0.03195066377520561,8.404234886169434,25081213,2005-01-28,남성
