timestamp,given_number,upperbound,estimation,estimation_rt,stimulus_ts_on,stimulus_ts_off,size_control,Name,Participant ID,Birthdate,Gender,Handedness,Major/Grade
2025-07-24 14:26:00,373,500,349.0,1.3739981651306152,1753334758.7495966,1753334760.1235948,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:03,140,250,200.0,2.224752426147461,1753334761.6450012,1753334763.8697536,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:06,198,350,202.65,2.2193875312805176,1753334764.3670318,1753334766.5864193,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:18,13,50,10.35,10.426693201065063,1753334767.8275928,1753334778.254286,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:22,86,250,135.5,2.905512809753418,1753334779.3139079,1753334782.2194207,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:24,35,100,41.9,1.6169989109039307,1753334782.5344222,1753334784.151421,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:26,93,100,91.2,1.946000576019287,1753334784.4394207,1753334786.3854213,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:28,10,250,25.75,1.6189939975738525,1753334786.6804223,1753334788.2994163,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:30,170,450,349.65,1.4849212169647217,1753334788.592497,1753334790.0774183,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:33,89,200,61.4,2.838998556137085,1753334790.2974203,1753334793.1364188,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:35,21,450,31.05,2.4961655139923096,1753334793.3395295,1753334795.835695,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:37,226,450,294.3,1.3101675510406494,1753334796.1137578,1753334797.4239254,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:39,180,300,171.6,1.764920711517334,1753334797.6948748,1753334799.4597955,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:41,32,400,22.8,1.8911325931549072,1753334799.7545683,1753334801.645701,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:43,170,300,203.1,1.9695520401000977,1753334801.9017217,1753334803.8712738,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:45,95,150,95.85,1.4832324981689453,1753334804.088597,1753334805.5718296,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:48,20,100,37.7,1.9755892753601074,1753334806.3658996,1753334808.3414888,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:50,208,400,233.6,1.681868076324463,1753334808.5838792,1753334810.2657473,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:52,369,500,457.0,1.8500089645385742,1753334810.5855005,1753334812.4355094,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:54,30,250,86.5,1.7649993896484375,1753334812.6885054,1753334814.4535048,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:56,69,250,128.5,2.154994010925293,1753334814.681508,1753334816.836502,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:26:58,269,400,388.4,1.8539938926696777,1753334817.0815082,1753334818.935502,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:00,97,150,124.2,1.8011243343353271,1753334819.1605074,1753334820.9616318,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:02,96,400,102.4,1.6210711002349854,1753334821.1806288,1753334822.8016999,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:05,96,300,146.1,2.0619008541107178,1753334823.1236813,1753334825.1855822,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:07,59,400,65.6,1.627941608428955,1753334825.3875868,1753334827.0155284,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:09,151,450,275.4,1.8349792957305908,1753334827.3506217,1753334829.185601,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:11,66,350,38.85,1.792992353439331,1753334829.3466773,1753334831.1396697,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:13,261,400,272.8,1.8614544868469238,1753334831.3616698,1753334833.2231243,1,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
2025-07-24 14:27:18,35,100,43.8,5.0724334716796875,1753334833.4140618,1753334838.4864953,0,Modric,lukamodric,1985-09-09,Male,Right,Midfielder
