timestamp,given_number,upper_bound,estimation,estimation_rt,stimulus_ts_on,stimulus_ts_off,size_control,posterior_mean,posterior_std,log_marginal_likelihood,Participant ID,Birthdate,Gender
2025-08-06 17:50:01,459,500,244.0,0.5209963321685791,1754470201.1956897,1754470201.716686,1,0.0,1.0,0.0,123,2000-01-01,남성
2025-08-06 17:50:02,5,500,303.5,0.24322867393493652,1754470201.98565,1754470202.2288787,1,244.0,0.003162277660168379,4.837519199305442,123,2000-01-01,남성
2025-08-06 17:50:02,12,500,334.5,0.2746748924255371,1754470202.5380325,1754470202.8127074,0,273.7500000006812,29.75,-2.8378770664093453,123,2000-01-01,남성
2025-08-06 17:50:03,18,500,337.5,0.6184577941894531,1754470203.0107105,1754470203.6291683,1,294.0000006168142,37.55218591063198,-4.256815599607771,123,2000-01-01,남성
2025-08-06 17:50:04,24,500,316.0,0.2402050495147705,1754470203.8035839,1754470204.043789,0,304.8750004968781,37.582201572020765,-5.675754122397526,123,2000-01-01,남성
2025-08-06 17:50:04,31,500,290.0,0.16445684432983398,1754470204.2551332,1754470204.41959,1,307.1000000002038,33.90781620806625,-7.094692651407598,123,2000-01-01,남성
2025-08-06 17:50:04,38,500,258.0,0.2075061798095703,1754470204.6208763,1754470204.8283825,0,304.2499999996737,31.60267657440848,-8.513631177936665,123,2000-01-01,남성
2025-08-06 17:50:05,45,500,247.0,0.24858832359313965,1754470204.9711552,1754470205.2197435,0,297.64285714194943,33.4362018153488,-9.932569702445548,123,2000-01-01,남성
2025-08-06 17:50:05,51,500,226.0,0.18679285049438477,1754470205.4086921,1754470205.595485,1,291.3124993251215,35.47881189879391,-11.351508227669644,123,2000-01-01,남성
2025-08-06 17:50:05,58,500,190.0,0.16281509399414062,1754470205.8233943,1754470205.9862094,0,284.0555555542262,39.24527179195847,-12.770446733999195,123,2000-01-01,남성
2025-08-06 17:50:06,65,500,166.0,0.21339058876037598,1754470206.1812818,1754470206.3946724,0,274.64999999806173,46.715655833992095,-14.189385278201588,123,2000-01-01,남성
2025-08-06 17:50:06,72,500,133.0,0.26909804344177246,1754470206.5175385,1754470206.7866366,1,264.7727272704656,54.4018564340508,-15.608323816327212,123,2000-01-01,남성
2025-08-06 17:50:07,79,500,131.5,0.2994866371154785,1754470206.9031768,1754470207.2026634,0,253.79166666390086,63.5559000452008,-17.027262352499783,123,2000-01-01,남성
2025-08-06 17:50:07,85,500,184.0,0.3186466693878174,1754470207.37203,1754470207.6906767,0,244.384613665385,69.2137585939257,-18.446200883765233,123,2000-01-01,남성
2025-08-06 17:50:08,91,500,249.5,0.1974475383758545,1754470207.860111,1754470208.0575585,0,240.0714277174619,68.48510191036785,-19.86513939134853,123,2000-01-01,남성
2025-08-06 17:50:08,98,500,291.0,0.19776582717895508,1754470208.211805,1754470208.409571,1,240.7000000002015,66.20468261384538,-21.284077921551436,123,2000-01-01,남성
2025-08-06 17:50:08,105,500,328.0,0.23115205764770508,1754470208.5305095,1754470208.7616615,0,243.84375000107974,65.248495851916,-22.70301645389474,123,2000-01-01,남성
2025-08-06 17:50:09,111,500,351.0,0.23942351341247559,1754470208.8503134,1754470209.089737,1,248.7941188533628,66.32519236209204,-24.1219549910122,123,2000-01-01,남성
2025-08-06 17:50:09,118,500,373.0,0.20206284523010254,1754470209.2795923,1754470209.4816551,1,254.47222222443247,68.57649261595532,-25.540893506542474,123,2000-01-01,남성
2025-08-06 17:50:09,124,500,377.5,0.17045807838439941,1754470209.672015,1754470209.842473,1,260.7105280259559,71.80333443904327,-26.9598320501951,123,2000-01-01,남성
