timestamp,given_number,upper_bound,estimation,estimation_rt,stimulus_ts_on,stimulus_ts_off,size_control,Participant ID,Birthdate,Gender
2025-08-07 21:16:52,430,500,408.0,0.1876840591430664,1754569012.41629,1754569012.603974,0,2,2002-09-21,남성
2025-08-07 21:16:53,455,500,320.5,0.23479056358337402,1754569012.7933269,1754569013.0281174,1,2,2002-09-21,남성
2025-08-07 21:16:53,105,500,286.0,0.18964195251464844,1754569013.1898675,1754569013.3795094,1,2,2002-09-21,남성
2025-08-07 21:16:53,30,500,215.0,0.21041321754455566,1754569013.58343,1754569013.7938433,0,2,2002-09-21,남성
2025-08-07 21:16:54,280,500,177.5,0.5742392539978027,1754569013.9245632,1754569014.4988024,0,2,2002-09-21,남성
2025-08-07 21:16:54,130,500,231.0,0.19939160346984863,1754569014.6999238,1754569014.8993154,0,2,2002-09-21,남성
2025-08-07 21:16:55,155,500,269.5,0.14676475524902344,1754569015.0965865,1754569015.2433512,1,2,2002-09-21,남성
2025-08-07 21:16:55,55,500,294.0,0.14802169799804688,1754569015.4224436,1754569015.5704653,0,2,2002-09-21,남성
2025-08-07 21:16:55,380,500,333.0,0.1392350196838379,1754569015.7338393,1754569015.8730743,1,2,2002-09-21,남성
2025-08-07 21:16:56,5,500,346.0,0.190748929977417,1754569016.043217,1754569016.2339659,0,2,2002-09-21,남성
2025-08-07 21:16:56,230,500,325.0,0.15096259117126465,1754569016.4030488,1754569016.5540113,1,2,2002-09-21,남성
2025-08-07 21:16:56,255,500,286.5,0.15718340873718262,1754569016.700751,1754569016.8579345,0,2,2002-09-21,남성
2025-08-07 21:16:57,480,500,254.0,0.196793794631958,1754569016.9727619,1754569017.1695557,0,2,2002-09-21,남성
2025-08-07 21:16:57,405,500,203.5,0.16876602172851562,1754569017.2892046,1754569017.4579706,1,2,2002-09-21,남성
2025-08-07 21:16:57,205,500,203.5,0.00901651382446289,1754569017.510364,1754569017.5193806,1,2,2002-09-21,남성
2025-08-07 21:16:58,180,500,154.5,0.2015688419342041,1754569017.8634782,1754569018.065047,1,2,2002-09-21,남성
2025-08-07 21:16:58,80,500,144.5,0.17081332206726074,1754569018.2144883,1754569018.3853016,1,2,2002-09-21,남성
2025-08-07 21:16:58,305,500,122.0,0.11937808990478516,1754569018.5690746,1754569018.6884527,0,2,2002-09-21,남성
2025-08-07 21:16:59,330,500,110.0,0.1802828311920166,1754569018.8279314,1754569019.0082142,1,2,2002-09-21,남성
2025-08-07 21:16:59,355,500,92.5,0.156235933303833,1754569019.1807585,1754569019.3369944,0,2,2002-09-21,남성
