timestamp,given_number,upper_bound,estimation,estimation_rt,stimulus_ts_on,stimulus_ts_off,size_control,Participant ID,Birthdate,Gender
2025-08-06 17:44:42,82,400,101.2,5.340289354324341,1754469877.3839703,1754469882.7242596,1,,2002-09-21,남성
2025-08-06 17:44:49,500,400,393.6,3.7553560733795166,1754469885.2535255,1754469889.0088816,1,,2002-09-21,남성
2025-08-06 17:44:53,16,400,52.8,2.3134424686431885,1754469891.6281135,1754469893.941556,0,,2002-09-21,남성
2025-08-06 17:44:59,500,400,399.2,3.189837694168091,1754469896.6516068,1754469899.8414445,0,,2002-09-21,남성
2025-08-06 17:45:07,59,400,349.2,5.272109508514404,1754469902.4525928,1754469907.7247024,0,,2002-09-21,남성
2025-08-06 17:45:13,59,400,49.2,3.117426872253418,1754469910.4063528,1754469913.5237796,1,,2002-09-21,남성
2025-08-06 17:45:18,75,400,87.2,2.201099395751953,1754469916.022726,1754469918.2238255,0,,2002-09-21,남성
2025-08-06 17:45:22,69,400,114.4,1.463132619857788,1754469920.9186962,1754469922.3818288,1,,2002-09-21,남성
2025-08-06 17:45:27,76,400,114.8,2.0550248622894287,1754469925.1686661,1754469927.223691,1,,2002-09-21,남성
2025-08-06 17:45:32,500,400,388.0,1.760979413986206,1754469931.0889132,1754469932.8498926,0,,2002-09-21,남성
2025-08-06 17:45:38,500,400,390.4,1.1657116413116455,1754469936.8731,1754469938.0388117,0,,2002-09-21,남성
2025-08-06 17:45:42,500,400,400.0,1.4148621559143066,1754469941.0138109,1754469942.428673,0,,2002-09-21,남성
2025-08-06 17:45:46,79,400,64.0,1.4280750751495361,1754469945.2390935,1754469946.6671686,1,,2002-09-21,남성
2025-08-06 17:45:52,79,400,75.2,2.861685037612915,1754469949.4949515,1754469952.3566365,0,,2002-09-21,남성
2025-08-06 17:45:56,76,400,84.8,1.899284839630127,1754469955.0423675,1754469956.9416523,1,,2002-09-21,남성
2025-08-06 17:46:01,75,400,80.0,1.5327868461608887,1754469959.8064845,1754469961.3392713,1,,2002-09-21,남성
2025-08-06 17:46:05,67,400,96.8,1.1372230052947998,1754469963.9292362,1754469965.0664592,1,,2002-09-21,남성
2025-08-06 17:46:08,67,400,87.6,0.9008307456970215,1754469967.7645953,1754469968.665426,1,,2002-09-21,남성
2025-08-06 17:46:11,69,400,94.8,0.667811393737793,1754469971.30716,1754469971.9749713,0,,2002-09-21,남성
2025-08-06 17:46:15,70,400,93.2,0.7916514873504639,1754469974.6692934,1754469975.460945,0,,2002-09-21,남성
